SECCIÓN 11: FIRMAS Y APROBACIONES
Campo,Valor
prepared_by,Jean-Pierre Dubois
title_prepared_by,Quality Manager
date_prepared,2025-10-25
reviewed_by,Marie Laurent
title_reviewed_by,Technical Director
date_reviewed,2025-10-25
approved_by_supplier,Claude Moreau
title_approved_by_supplier,CEO
date_approved_by_supplier,2025-10-25
company_stamp,PROVENCE NATURAL EXTRACTS SAS

